question,right_answer,bot_response
What innovations have been created by the Scanner group in DC2?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%') AND Department.DepartmentName LIKE LOWER('%DC2%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%') AND Department.DepartmentName LIKE LOWER('%DC2%');
What are the innovations by the MCV group in DC5?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%MCV%') AND Department.DepartmentName LIKE LOWER('%DC5%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%MCV%') AND Department.DepartmentName LIKE LOWER('%DC5%');
Which groups in department DC4 contributed to innovations?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC4%');,SELECT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC4%');
What innovations has DC3 introduced recently?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC3%') ORDER BY Jidouka.DateCreate DESC;,SELECT ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE DepartmentName LIKE LOWER('%DC3%');
List all innovations launched on Mondays in 2023.,"SELECT ImprovementName, DateCreate FROM Jidouka WHERE YEAR(DateCreate) = 2023 AND DAYOFWEEK(DateCreate) = 2;",SELECT ImprovementName FROM Jidouka WHERE YEAR(DateCreate) = 2023 AND DAYOFWEEK(DateCreate) = 2;
Can you identify improvements initiated by AI in the AS department?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%AS%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AS%');
Find the earliest date any group launched an innovation.,"SELECT GroupDC.GroupDCName, MIN(DateCreate) AS EarliestDate FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId GROUP BY GroupDC.GroupDCName;","SELECT GroupDC.GroupDCName, DateCreate FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE Jidouka.DateCreate = (SELECT MIN(DateCreate) FROM Jidouka);"
List all authors working in the department 'DC1'.,SELECT Author.AuthorName FROM Author JOIN Department ON Author.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC1%');,SELECT AuthorName FROM Author JOIN Department ON Author.DepartmentId = Department.DepartmentId WHERE DepartmentName LIKE LOWER('%DC1%');
Find the oldest innovation in the database.,"SELECT ImprovementName, MIN(DateCreate) AS OldestDate FROM Jidouka;","SELECT ImprovementName, DateCreate FROM Jidouka ORDER BY DateCreate ASC LIMIT 1;"
Find all departments where group AI operates.,SELECT DISTINCT Department.DepartmentName FROM Department JOIN GroupDC ON Department.DepartmentId = GroupDC.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%');,SELECT DISTINCT DepartmentName FROM Department WHERE GroupDCId IN (SELECT GroupDCId FROM GroupDC WHERE GroupDCName LIKE LOWER('%AI%'));
Find the earliest date any group launched an innovation.,"SELECT GroupDC.GroupDCName, MIN(DateCreate) AS EarliestDate FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId GROUP BY GroupDC.GroupDCName;","SELECT GroupDC.GroupDCName, DateCreate FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE Jidouka.DateCreate = (SELECT MIN(DateCreate) FROM Jidouka);"
What improvements are attributed to group Scanner in department DC4?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%') AND Department.DepartmentName LIKE LOWER('%DC4%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%') AND Department.DepartmentName LIKE LOWER('%DC4%');
Can you identify improvements initiated by AI in the AS department?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%AS%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AS%');
What improvements from the AI group in DC5 have saved the most time?,"SELECT Jidouka.ImprovementName, SUM(Jidouka.TotalTimeSaved) AS TotalTimeSaved FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC5%') GROUP BY Jidouka.ImprovementName ORDER BY TotalTimeSaved DESC LIMIT 1;","SELECT Jidouka.ImprovementName, SUM(Jidouka.TotalTimeSaved) AS TotalTimeSaved FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC5%') GROUP BY Jidouka.ImprovementName ORDER BY TotalTimeSaved DESC LIMIT 1;"
Which innovations were launched during national holidays?,"SELECT ImprovementName, DateCreate FROM Jidouka WHERE DateCreate IN ('2023-01-01', '2023-04-30', '2023-05-01', '2023-09-02');","SELECT ImprovementName FROM Jidouka WHERE DateCreate IN ('2023-01-01', '2023-04-30', '2023-05-01', '2023-09-02');"
What innovations have been created by the Scanner group in DC2?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%') AND Department.DepartmentName LIKE LOWER('%DC2%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%') AND Department.DepartmentName LIKE LOWER('%DC2%');
Find the oldest innovation in the database.,"SELECT ImprovementName, MIN(DateCreate) AS OldestDate FROM Jidouka;","SELECT ImprovementName, DateCreate FROM Jidouka ORDER BY DateCreate ASC LIMIT 1;"
List all authors working in the department 'DC1'.,SELECT Author.AuthorName FROM Author JOIN Department ON Author.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC1%');,SELECT AuthorName FROM Author JOIN Department ON Author.DepartmentId = Department.DepartmentId WHERE DepartmentName LIKE LOWER('%DC1%');
Which tasks used 'Python AI Tool'?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE LOWER('%Python AI Tool%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE '%Python AI Tool%';
How has the AI group impacted department DC1?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC1%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC1%');
Find all groups that worked on innovations involving AI.,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Job ON Jidouka.JobId = Job.JobId WHERE LOWER(Job.JobName) LIKE '%ai%';,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Job ON Jidouka.JobId = Job.JobId WHERE Job.JobName LIKE '%AI%';
What is the most recent innovation launched in the Scanner group?,"SELECT ImprovementName, DateCreate FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE '%Scanner%' ORDER BY DateCreate DESC LIMIT 1;",SELECT ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE '%Scanner%' ORDER BY DateCreate DESC LIMIT 1;
What are the most recent innovations from the Scanner group in DC4?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%') AND Department.DepartmentName LIKE LOWER('%DC4%') ORDER BY Jidouka.DateCreate DESC LIMIT 1;,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE '%Scanner%' AND Department.DepartmentName LIKE '%DC4%' ORDER BY Jidouka.DateCreate DESC LIMIT 1;
Which authors created innovations in the last five years?,"SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE DateCreate >= DATE_SUB(CURDATE(), INTERVAL 5 YEAR);","SELECT AuthorName FROM Author WHERE DateCreate >= DATE_SUB(CURDATE(), INTERVAL 5 YEAR);"
Which departments have the Scanner group operated in?,SELECT DISTINCT Department.DepartmentName FROM Department JOIN GroupDC ON Department.DepartmentId = GroupDC.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%');,SELECT DISTINCT DepartmentName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%');
List all innovations launched before the current year.,SELECT ImprovementName FROM Jidouka WHERE YEAR(DateCreate) < YEAR(CURDATE());,SELECT ImprovementName FROM Jidouka WHERE DateCreate < '2024-01-01';
List all innovations launched on weekends.,"SELECT ImprovementName FROM Jidouka WHERE DAYOFWEEK(DateCreate) IN (1, 7);","SELECT ImprovementName FROM Jidouka WHERE DateCreate NOT IN ('2023-01-01', '2023-04-30', '2023-05-07', '2023-05-14', '2023-05-21', '2023-05-28');"
What is the average number of hours saved by innovations created in 2021?,SELECT AVG(TotalTimeSaved) AS AvgSavedHours FROM Jidouka WHERE YEAR(DateCreate) = 2021;,SELECT AVG(TotalTimeSaved) FROM Jidouka WHERE YEAR(DateCreate) = 2021;
Which innovations were created exactly one year ago today?,"SELECT ImprovementName, DateCreate FROM Jidouka WHERE DateCreate = DATE_SUB(CURDATE(), INTERVAL 1 YEAR);","SELECT ImprovementName FROM Jidouka WHERE DateCreate = DATE_SUB(CURDATE(), INTERVAL 1 YEAR);"
What were the most recent innovations?,"SELECT ImprovementName, MAX(DateCreate) AS MostRecentDate FROM Jidouka;",SELECT ImprovementName FROM Jidouka ORDER BY DateCreate DESC LIMIT 1;
Which tools were used in innovations created in the last three months?,"SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE DateCreate >= DATE_SUB(CURDATE(), INTERVAL 3 MONTH);","SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.DateCreate >= DATE_SUB(CURDATE(), INTERVAL 3 MONTH);"
Which groups worked on innovations in department DC5?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC5%');,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC5%');
List all groups in department DC1.,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC1%');,SELECT GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC1%');
Which groups collaborated on innovations in both DC6 and DC8?,"SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName IN ('DC6', 'DC8');",SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE GroupDC.GroupDCName IN (SELECT GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE GroupDC.DepartmentId IN (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%DC6%')) AND GroupDC.DepartmentId IN (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%DC8%'))) AND Jidouka.JidoukaId IN (SELECT JidoukaTool.JidoukaId FROM JidoukaTool JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE JidoukaTool.ToolId IN (SELECT Tool.ToolId FROM Tool WHERE Tool.ToolName LIKE LOWER('%Jidouka%'))) AND JidoukaTool.JidoukaId IN (SELECT JidoukaTool.JidoukaId FROM JidoukaTool JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE JidoukaTool
Which authors launched innovations in March 2023?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE MONTH(Jidouka.DateCreate) = 3 AND YEAR(Jidouka.DateCreate) = 2023;,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE MONTH(Jidouka.DateCreate) = 3 AND YEAR(Jidouka.DateCreate) = 2023;
List all innovations created on public holidays in 2024.,"SELECT ImprovementName, DateCreate FROM Jidouka WHERE DateCreate IN ('2024-01-01', '2024-04-30', '2024-05-01', '2024-09-02');","SELECT ImprovementName FROM Jidouka WHERE DateCreate IN ('2024-01-01', '2024-04-30', '2024-05-01', '2024-09-02');"
Which innovations are linked to the MCV group in DC1?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%MCV%') AND Department.DepartmentName LIKE LOWER('%DC1%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%MCV%') AND Department.DepartmentName LIKE LOWER('%DC1%');
Which groups in department DC4 contributed to innovations?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC4%');,SELECT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC4%');
What innovations has the AI group introduced in DC8?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC8%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND GroupDC.DepartmentName LIKE LOWER('%DC8%');
What innovations are associated with department DC7 by the Scanner group?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%') AND Department.DepartmentName LIKE LOWER('%DC7%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%') AND Department.DepartmentName LIKE LOWER('%DC7%');
Which tools were used in innovations created in the last three months?,"SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE DateCreate >= DATE_SUB(CURDATE(), INTERVAL 3 MONTH);","SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.DateCreate >= DATE_SUB(CURDATE(), INTERVAL 3 MONTH);"
List all innovations launched before the current year.,SELECT ImprovementName FROM Jidouka WHERE YEAR(DateCreate) < YEAR(CURDATE());,SELECT ImprovementName FROM Jidouka WHERE DateCreate < '2024-01-01';
Find the total hours saved by innovations created in 2020.,SELECT SUM(TotalTimeSaved) AS TotalHours FROM Jidouka WHERE YEAR(DateCreate) = 2020;,SELECT SUM(TotalTimeSaved) FROM Jidouka WHERE YEAR(DateCreate) = 2020;
Which innovations have been implemented by the AI group in department DC2?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC2%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC2%');
Which departments have the Scanner group operated in?,SELECT DISTINCT Department.DepartmentName FROM Department JOIN GroupDC ON Department.DepartmentId = GroupDC.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%');,SELECT DISTINCT DepartmentName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%');
What are the recent innovations brought by the MCV group in DC8?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%MCV%') AND Department.DepartmentName LIKE LOWER('%DC8%') ORDER BY Jidouka.DateCreate DESC;,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%MCV%') AND Department.DepartmentName LIKE LOWER('%DC8%') ORDER BY Jidouka.DateCreate DESC;
List all innovations launched on Mondays in 2023.,"SELECT ImprovementName, DateCreate FROM Jidouka WHERE YEAR(DateCreate) = 2023 AND DAYOFWEEK(DateCreate) = 2;",SELECT ImprovementName FROM Jidouka WHERE YEAR(DateCreate) = 2023 AND DAYOFWEEK(DateCreate) = 2;
Find the month with the highest number of innovations launched in 2022.,"SELECT MONTH(DateCreate) AS Month, COUNT(*) AS Innovations FROM Jidouka WHERE YEAR(DateCreate) = 2022 GROUP BY MONTH(DateCreate) ORDER BY Innovations DESC LIMIT 1;","SELECT MONTH(DateCreate) AS Month, COUNT(*) AS InnovationCount FROM Jidouka WHERE YEAR(DateCreate) = 2022 GROUP BY MONTH(DateCreate) ORDER BY InnovationCount DESC LIMIT 1;"
What were the most recent innovations?,"SELECT ImprovementName, MAX(DateCreate) AS MostRecentDate FROM Jidouka;",SELECT ImprovementName FROM Jidouka ORDER BY DateCreate DESC LIMIT 1;
Find all departments where group AI operates.,SELECT DISTINCT Department.DepartmentName FROM Department JOIN GroupDC ON Department.DepartmentId = GroupDC.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%');,SELECT DISTINCT DepartmentName FROM Department WHERE GroupDCId IN (SELECT GroupDCId FROM GroupDC WHERE GroupDCName LIKE LOWER('%AI%'));
List all groups in department DC1.,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC1%');,SELECT GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC1%');
Which innovations have been implemented by the AI group in  DC2?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC2%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC2%');
What are the most recent innovations from the Scanner group in DC4?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%') AND Department.DepartmentName LIKE LOWER('%DC4%') ORDER BY Jidouka.DateCreate DESC LIMIT 1;,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE '%Scanner%' AND Department.DepartmentName LIKE '%DC4%' ORDER BY Jidouka.DateCreate DESC LIMIT 1;
What innovations are associated with department DC7 by the Scanner group?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%') AND Department.DepartmentName LIKE LOWER('%DC7%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%') AND Department.DepartmentName LIKE LOWER('%DC7%');
Which innovations were launched exactly six months ago?,"SELECT ImprovementName, DateCreate FROM Jidouka WHERE DateCreate = DATE_SUB(CURDATE(), INTERVAL 6 MONTH);","SELECT ImprovementName FROM Jidouka WHERE DateCreate = DATE_SUB(CURDATE(), INTERVAL 6 MONTH);"
List all innovations created by the AI group in department AS.,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%AS%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%AS%');
What are the recent innovations brought by the MCV group in DC8?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%MCV%') AND Department.DepartmentName LIKE LOWER('%DC8%') ORDER BY Jidouka.DateCreate DESC;,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%MCV%') AND Department.DepartmentName LIKE LOWER('%DC8%') ORDER BY Jidouka.DateCreate DESC;
Which authors launched innovations in March 2023?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE MONTH(Jidouka.DateCreate) = 3 AND YEAR(Jidouka.DateCreate) = 2023;,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE MONTH(Jidouka.DateCreate) = 3 AND YEAR(Jidouka.DateCreate) = 2023;
Find innovations created in December over the past five years.,"SELECT ImprovementName, DateCreate FROM Jidouka WHERE MONTH(DateCreate) = 12 AND DateCreate >= DATE_SUB(CURDATE(), INTERVAL 5 YEAR);",SELECT ImprovementName FROM Jidouka WHERE DateCreate BETWEEN '2023-12-01' AND '2023-12-31';
